                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.62559,                0.58367,                      0,                0.38491,                0.93905,                0.99896,                      1,                  0.995,                0.89709,                 0.5433,                0.54386,                0.41064,                0.26518,                0.58458,                 3.7983,                      0,                0.29888,                0.89889,              0.0005744,              0.0005744,              0.0005744
                     75,                0.60905,                0.57762,                      0,                0.37301,                0.93861,                0.99899,                      1,                  0.995,                0.90586,                 0.5433,                0.54386,                0.41768,                0.28001,                0.57356,                 3.7916,                      0,                0.32409,                0.89518,              0.0005546,              0.0005546,              0.0005546
                     76,                0.62322,                0.47683,                      0,                0.37322,                0.94445,                0.99902,                      1,                  0.995,                0.89705,                 0.3857,                0.38596,                0.26806,                0.24618,                0.54063,                 3.8298,                      0,                0.28129,                 0.8924,              0.0005348,              0.0005348,              0.0005348
                     77,                0.63261,                0.49741,                      0,                0.38011,                 0.9304,                0.99897,                      1,                  0.995,                0.90752,                0.45569,                0.45614,                0.33011,                0.27488,                0.50261,                 3.6154,                      0,                0.28436,                0.89382,               0.000515,               0.000515,               0.000515
                     78,                0.63821,                0.55087,                      0,                0.38791,                0.94278,                0.99901,                      1,                  0.995,                0.86704,                0.63106,                0.63158,                0.51366,                0.34944,                0.61561,                 3.1792,                      0,                0.33128,                0.91191,              0.0004952,              0.0004952,              0.0004952
                     79,                0.61926,                0.56157,                      0,                0.38059,                0.93393,                0.99899,                      1,                  0.995,                0.87963,                0.54331,                0.54386,                0.36799,                0.25124,                0.54164,                 3.3819,                      0,                0.28622,                0.89937,              0.0004754,              0.0004754,              0.0004754
                     80,                0.60021,                0.51389,                      0,                0.36673,                0.93566,                  0.999,                      1,                  0.995,                0.90057,                0.61342,                0.61404,                0.45808,                0.31997,                0.53327,                 3.2184,                      0,                 0.2898,                0.90105,              0.0004556,              0.0004556,              0.0004556
                     81,                0.59165,                0.49419,                      0,                0.36334,                0.92958,                0.99896,                      1,                  0.995,                0.87886,                0.63092,                0.63158,                0.48786,                0.27448,                0.58415,                 3.7203,                      0,                0.27914,                0.90384,              0.0004358,              0.0004358,              0.0004358
                     82,                0.59559,                0.57407,                      0,                0.36678,                0.93058,                0.99898,                      1,                  0.995,                0.90052,                0.73607,                0.73684,                0.61491,                0.32395,                 0.5374,                 3.6562,                      0,                0.28902,                 0.8889,               0.000416,               0.000416,               0.000416
                     83,                0.57801,                0.47057,                      0,                0.35532,                0.93166,                0.99793,                      1,                  0.995,                0.89606,                0.63088,                0.63158,                0.47785,                0.29331,                0.55337,                 3.3822,                      0,                0.28859,                0.89855,              0.0003962,              0.0003962,              0.0003962
                     84,                0.58869,                0.47457,                      0,                0.36467,                0.92683,                0.99902,                      1,                  0.995,                0.90089,                0.63119,                0.63158,                0.49492,                0.28649,                0.53905,                 3.5891,                      0,                0.27392,                0.88917,              0.0003764,              0.0003764,              0.0003764
                     85,                0.56554,                0.47849,                      0,                 0.3507,                0.91457,                0.99901,                      1,                  0.995,                0.90387,                0.66622,                0.66667,                0.55759,                0.31246,                0.52345,                 3.6129,                      0,                0.28621,                 0.8846,              0.0003566,              0.0003566,              0.0003566
                     86,                0.54669,                0.51878,                      0,                0.34949,                 0.9232,                0.99895,                      1,                  0.995,                0.90056,                  0.701,                0.70175,                0.57042,                0.26699,                0.53351,                 3.7858,                      0,                0.27971,                0.90167,              0.0003368,              0.0003368,              0.0003368
                     87,                0.58083,                0.45023,                      0,                0.35665,                0.93602,                0.99891,                      1,                  0.995,                0.91995,                 0.7185,                 0.7193,                0.63433,                0.30753,                0.51282,                 3.7684,                      0,                0.27536,                0.88182,               0.000317,               0.000317,               0.000317
                     88,                0.54764,                0.41655,                      0,                0.34283,                0.92927,                0.99897,                      1,                  0.995,                0.89536,                0.68351,                0.68421,                0.58664,                0.30676,                0.57097,                 3.9045,                      0,                0.29951,                0.89058,              0.0002972,              0.0002972,              0.0002972
