                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.57224,                0.41379,                      0,                0.37123,                0.94152,                0.98234,                0.98305,                0.98713,                0.78041,                0.54159,                0.54661,                0.31463,                0.14551,                0.82783,                 3.9903,                      0,                0.40069,                 1.0905,              0.0003368,              0.0003368,              0.0003368
                     87,                0.58257,                0.40521,                      0,                0.36652,                0.93178,                 0.9997,                      1,                  0.995,                0.83119,                0.57187,                0.57203,                0.43418,                0.25297,                0.77739,                 3.6873,                      0,                0.35345,                  1.018,               0.000317,               0.000317,               0.000317
                     88,                0.57119,                0.40515,                      0,                0.36517,                0.93686,                0.99962,                      1,                  0.995,                0.84428,                0.50406,                0.50424,                0.37209,                0.32614,                0.72742,                 3.2734,                      0,                 0.3415,                0.98541,              0.0002972,              0.0002972,              0.0002972
                     89,                0.56556,                0.36906,                      0,                0.34812,                0.94302,                0.99964,                      1,                  0.995,                0.84167,                0.48711,                0.48729,                0.35251,                0.32704,                0.73872,                 3.2862,                      0,                0.33845,                0.98193,              0.0002774,              0.0002774,              0.0002774
                     90,                0.54308,                0.35134,                      0,                0.35089,                0.92759,                0.99968,                      1,                  0.995,                0.83898,                0.59727,                0.59746,                0.47406,                0.36483,                  0.743,                  3.117,                      0,                0.33842,                0.97345,              0.0002576,              0.0002576,              0.0002576
                     91,                0.41457,                0.49095,                      0,                0.31842,                0.89128,                0.99965,                      1,                  0.995,                0.82958,                0.63113,                0.63136,                0.49655,                 0.3566,                0.75552,                 3.1376,                      0,                0.34546,                0.97843,              0.0002378,              0.0002378,              0.0002378
                     92,                0.39667,                0.39123,                      0,                0.29369,                0.87186,                0.99949,                      1,                  0.995,                0.82843,                0.62256,                0.62288,                0.48439,                0.34509,                0.77669,                 3.1408,                      0,                0.35618,                0.99338,               0.000218,               0.000218,               0.000218
                     93,                0.39596,                0.40564,                      0,                0.27424,                0.88824,                0.99943,                      1,                  0.995,                0.83627,                0.56332,                0.56356,                0.42457,                0.33346,                0.75095,                 3.2017,                      0,                0.34332,                0.98257,              0.0001982,              0.0001982,              0.0001982
                     94,                0.36847,                0.38655,                      0,                0.26696,                0.85702,                0.99946,                      1,                  0.995,                0.83553,                  0.521,                0.52119,                0.37571,                0.31815,                0.74776,                 3.2273,                      0,                0.35943,                0.97445,              0.0001784,              0.0001784,              0.0001784
                     95,                0.37578,                0.44131,                      0,                0.27226,                0.88164,                0.99951,                      1,                  0.995,                0.83463,                0.52103,                0.52119,                0.37454,                0.32435,                0.75002,                 3.2155,                      0,                0.35361,                0.97298,              0.0001586,              0.0001586,              0.0001586
                     96,                0.36048,                0.37826,                      0,                0.26015,                0.86604,                0.99926,                      1,                  0.995,                0.83108,                0.50823,                0.50847,                 0.3608,                0.32167,                0.75506,                 3.2519,                      0,                0.35618,                0.97793,              0.0001388,              0.0001388,              0.0001388
